index,Date,CLOSE,LOG_RETURN
0,2015-01-02,3.558,
1,2015-01-05,3.457,-0.02879742830415588
2,2015-01-06,3.463,0.0017341044807974715
3,2015-01-07,3.414,-0.014250641048035861
4,2015-01-08,3.457,0.01251653656723839
5,2015-01-09,3.487,0.00864060675402678
6,2015-01-12,3.376,-0.032350190959803404
7,2015-01-13,3.44,0.01877989465159624
8,2015-01-14,3.579,0.039611960398581836
9,2015-01-15,3.521,-0.01633839161097339
10,2015-01-16,3.531,0.002836076773333973
11,2015-01-20,3.38,-0.04370540745132212
12,2015-01-21,3.454,0.021657270229559655
13,2015-01-22,3.409,-0.01311398656872087
14,2015-01-23,3.472,0.018311803642337754
15,2015-01-26,3.433,-0.011296282322548867
16,2015-01-27,3.478,0.013022901456536395
17,2015-01-28,3.416,-0.017987140005767843
18,2015-01-29,3.323,-0.027602286553866318
19,2015-01-30,3.287,-0.010892694690374904
20,2015-02-02,3.278,-0.0027418143604442946
21,2015-02-03,3.325,0.014236193786179463
22,2015-02-04,3.273,-0.015762678588773893
23,2015-02-05,3.226,-0.01446401581602652
24,2015-02-06,3.244,0.005564156550149413
25,2015-02-09,3.273,0.008899859265877108
26,2015-02-10,3.324,0.015461881474158057
27,2015-02-11,3.373,0.014633679086311524
28,2015-02-12,3.331,-0.012529996867970628
29,2015-02-13,3.383,0.015490330587028867
30,2015-02-17,3.356,-0.00801310119361176
31,2015-02-18,3.389,0.009785104019954582
32,2015-02-19,3.389,0.0
33,2015-02-20,3.43,0.012025368552934346
34,2015-02-23,3.362,-0.020024226191424743
35,2015-02-24,3.347,-0.004471612757234178
36,2015-02-25,3.342,-0.0014949920559876873
37,2015-02-26,3.255,-0.02637715451266942
38,2015-02-27,3.276,0.0064308903302903175
39,2015-03-02,3.258,-0.005509655810969516
40,2015-03-03,3.276,0.005509655810969516
41,2015-03-04,3.306,0.0091158334080097
42,2015-03-05,3.352,0.013818183221004032
43,2015-03-06,3.355,0.0008945878038084665
44,2015-03-09,3.239,-0.03518713023445286
45,2015-03-10,3.268,0.008913536808564215
46,2015-03-11,3.312,0.01337405952525672
47,2015-03-12,3.265,-0.014292473794618621
48,2015-03-13,3.251,-0.004297121406626303
49,2015-03-16,3.229,-0.006790149545629953
50,2015-03-17,3.306,0.0235665076226943
51,2015-03-18,3.356,0.015010789206127084
52,2015-03-19,3.311,-0.013499530039850383
53,2015-03-20,3.295,-0.004844090610638618
54,2015-03-23,3.27,-0.007616183045308533
55,2015-03-24,3.312,0.012762251613851028
56,2015-03-25,3.259,-0.01613183666758866
57,2015-03-26,3.221,-0.011728529506362717
58,2015-03-27,3.184,-0.011553602366925153
59,2015-03-30,3.184,0.0
60,2015-03-31,3.188,0.0012554929458321595
61,2015-04-01,3.163,-0.007872816604457045
62,2015-04-02,3.239,0.02374369586568048
63,2015-04-03,3.239,0.0
64,2015-04-06,3.201,-0.011801379201466178
65,2015-04-07,3.221,0.006228609361335735
66,2015-04-08,3.177,-0.013754515061682682
67,2015-04-09,3.104,-0.02324575296640674
68,2015-04-10,3.081,-0.007437382706441564
69,2015-04-13,3.054,-0.008802012818090121
70,2015-04-14,3.077,0.00750288954346412
71,2015-04-15,3.137,0.01931183286863636
72,2015-04-16,3.201,0.020196331779184895
73,2015-04-17,3.173,-0.008785748386667569
74,2015-04-20,3.097,-0.024243611609992666
75,2015-04-21,3.14,0.013788898929096183
76,2015-04-22,3.173,0.010454712680896483
77,2015-04-23,3.115,-0.01844836036164188
78,2015-04-24,3.12,0.0016038495819745702
79,2015-04-27,3.081,-0.012578782206860373
80,2015-04-28,3.099,0.005825259191080567
81,2015-04-29,3.151,0.016640383969526162
82,2015-04-30,3.236,0.026618136421107774
83,2015-05-01,3.26,0.007389196182370883
84,2015-05-04,3.299,0.011892196867828275
85,2015-05-05,3.283,-0.004861753726988827
86,2015-05-06,3.285,0.000609013417118387
87,2015-05-07,3.268,-0.005188474938817578
88,2015-05-08,3.362,0.028357857988667412
89,2015-05-11,3.306,-0.01679703558759127
90,2015-05-12,3.375,0.020656324925660607
91,2015-05-13,3.396,0.0062029441246076455
92,2015-05-14,3.428,0.00937873228643249
93,2015-05-15,3.432,0.001166180890182611
94,2015-05-18,3.426,-0.0017497817237877022
95,2015-05-19,3.373,-0.015590843822415046
96,2015-05-20,3.357,-0.0047548380816151425
97,2015-05-21,3.387,0.008896855837736695
98,2015-05-22,3.333,-0.016071774510032055
99,2015-05-26,3.277,-0.01694442960892517
100,2015-05-27,3.265,-0.003668606988282974
101,2015-05-28,3.168,-0.030159288776214987
102,2015-05-29,3.118,-0.015908703316594774
103,2015-06-01,3.133,0.004799241334469961
104,2015-06-02,3.167,0.010793755586447906
105,2015-06-03,3.127,-0.01271068908079842
106,2015-06-04,3.126,-0.0003198464764193609
107,2015-06-05,3.103,-0.007384846533041722
108,2015-06-08,3.209,0.03358997666147667
109,2015-06-09,3.316,0.03279987514532867
110,2015-06-10,3.346,0.009006365291583718
111,2015-06-11,3.305,-0.012329129260982619
112,2015-06-12,3.243,-0.018937645978468698
113,2015-06-15,3.342,0.0300706028480211
114,2015-06-16,3.339,-0.0008980692116844491
